District,School,Tested,% Tested,Total,Reading/Writing,Math
Watauga County Schools,Watauga High,158,68.1,1161,593,568
Watauga County Schools,Watauga Innovation Academy,<10,*,*,*,*
Watauga County Schools,District Average,165,53.7,1159,592,566
Wayne County Public Schools,Charles B Aycock High,85,32.8,1101,554,547
Wayne County Public Schools,Eastern Wayne High,83,40.3,1007,512,496
Wayne County Public Schools,Goldsboro High,34,29.6,880,448,432
Wayne County Public Schools,Rosewood High,23,19,1085,534,550
Wayne County Public Schools,Southern Wayne High,55,24.3,940,482,458
Wayne County Public Schools,Spring Creek High,18,14.3,1059,534,524
Wayne County Public Schools,Wayne Early / Middle College H,21,33.3,1169,588,581
Wayne County Public Schools,Wayne Middle / High Academy,<10,*,*,*,*
Wayne County Public Schools,Wayne School Of Engineering,22,34.9,1093,547,545
Wayne County Public Schools,District Average,342,28.5,1032,521,510
Weldon City Schools,Roanoke Valley Early College,35,87.5,994,504,490
Weldon City Schools,Weldon Stem High School Career,18,60,839,432,407
Weldon City Schools,District Average,53,75.7,941,480,462
Whiteville City Schools,Whiteville High,51,32.9,1007,513,494
Whiteville City Schools,District Average,51,32.3,1007,513,494
Wilkes County Schools,East Wilkes High,47,39.8,1064,540,524
Wilkes County Schools,North Wilkes High,19,11.6,1102,566,536
Wilkes County Schools,West Wilkes High,35,22.9,1114,568,546
Wilkes County Schools,Wilkes Central High,18,9.2,1139,562,577
Wilkes County Schools,Wilkes Early College High,10,12.7,1102,554,548
Wilkes County Schools,District Average,129,18.2,1097,556,541
Wilson County Schools,Beddingfield High,64,37.6,998,507,492
Wilson County Schools,Fike High,157,57.9,1048,529,519
Wilson County Schools,James Hunt High,158,53.9,1036,524,512
Wilson County Schools,Wilson Early College Academy,38,42.2,1072,554,517
Wilson County Schools,District Average,417,50.4,1038,526,512
Winston Salem/Forsyth County Schools,Atkins Academic & Tech High,124,69.3,1156,580,576
Winston Salem/Forsyth County Schools,Career Center,<10,*,*,*,*
Winston Salem/Forsyth County Schools,Carver High,41,31.3,884,445,439
Winston Salem/Forsyth County Schools,Early College Of Forsyth Co,27,50.9,1215,617,598
Winston Salem/Forsyth County Schools,East Forsyth High,216,53.1,1045,528,517
Winston Salem/Forsyth County Schools,J F Kennedy High,<10,*,*,*,*
Winston Salem/Forsyth County Schools,Middle College Of Forsyth Cnty,24,37.5,1053,546,506
Winston Salem/Forsyth County Schools,Mount Tabor High School,230,63,1111,561,550
Winston Salem/Forsyth County Schools,North Forsyth High,97,39.3,957,493,464
Winston Salem/Forsyth County Schools,Parkland High,114,34.9,982,498,484
Winston Salem/Forsyth County Schools,R J Reynolds High,260,59.6,1113,569,544
Winston Salem/Forsyth County Schools,Robert B Glenn High School,126,36,1034,527,507
Winston Salem/Forsyth County Schools,Ronald W Reagan High School,309,69.4,1154,582,572
Winston Salem/Forsyth County Schools,Walkertown High,43,24,1059,540,519
Winston Salem/Forsyth County Schools,West Forsyth High,350,64.2,1136,571,565
Winston Salem/Forsyth County Schools,Winston-Salem Preparatory Acad,26,65,920,467,453
Winston Salem/Forsyth County Schools,District Average,1997,51.4,1090,552,538
Yadkin County Schools,Forbush High,64,31.7,1083,548,535
Yadkin County Schools,Starmount High,39,29.8,1022,510,512
Yadkin County Schools,Yadkin Early College,<10,*,*,*,*
Yadkin County Schools,District Average,105,25.5,1061,534,527
Yancey County Schools,Mountain Heritage High,50,27.8,1083,545,538
Yancey County Schools,District Average,50,27.8,1083,545,538
Charter,Bear Grass Charter School,<10,*,*,*,*
Charter,Carolina International School,24,52.2,995,500,495
Charter,Carter G Woodson School,<10,*,*,*,*
Charter,Charlotte Learning Academy,11,35.5,850,439,411
Charter,Charlotte Secondary School,<10,*,*,*,*
Charter,Chatham Charter,33,71.7,1086,552,534
Charter,Clover Garden,22,62.9,1096,560,536
Charter,Commonwealth High School,<10,*,*,*,*
Charter,Community School Of Davidson,108,88.5,1181,599,582
Charter,East Wake Academy,27,35.5,1176,602,574
Charter,Flemington Academy,<10,*,*,*,*
Charter,Franklin Academy,98,84.5,1173,595,578
Charter,Gaston College Preparatory,<10,*,*,*,*
Charter,Gray Stone Day School,105,99.1,1172,596,576
Charter,Haliwa-Saponi Tribal School,<10,*,*,*,*
Charter,Invest Collegiate - Imagine,<10,*,*,*,*
Charter,Lake Lure Classical Academy,<10,*,*,*,*
Charter,Lake Norman Charter,158,85.4,1248,624,624
Charter,Lincoln Charter School,127,85.8,1120,568,552
Charter,Longleaf School Of The Arts,44,81.5,1151,599,552
Charter,Millennium Charter Academy,11,45.8,1195,622,573
Charter,Mountain Island Charter,60,57.1,1083,540,543
Charter,NC Connections Academy,<10,*,*,*,*
Charter,NC Virtual Academy,12,34.3,1121,573,548
Charter,Neuse Charter School,21,50,1140,586,554
Charter,North East Carolina Preparatory School,29,61.7,1009,519,490
Charter,Northeast Regional School - Biotech/Agri,10,14.3,1086,560,526
Charter,Oxford Preparatory High School,32,68.1,1053,553,501
Charter,Paul R Brown Leadership Academy,12,85.7,881,456,425
Charter,Piedmont Classical High School,40,93,1068,537,532
Charter,Piedmont Community Charter,19,24.1,1049,536,513
Charter,Pine Lake Preparatory,119,79.9,1153,579,573
Charter,Pinnacle Classical Academy,<10,*,*,*,*
Charter,Quality Education Academy,34,100,873,444,429
Charter,Queens Grant Community School,42,44.7,1090,555,535
Charter,Raleigh Charter High School,121,89,1356,671,685
Charter,Research Triangle High School,62,68.1,1216,614,602
Charter,River Mill Academy,14,45.2,1028,524,504
Charter,Rocky Mount Preparatory,26,34.7,907,456,451
Charter,Roxboro Community School,42,45.7,1120,571,549
Charter,Southern Wake Academy,17,35.4,1106,577,529
Charter,Stewart Creek High School,<10,*,*,*,*
Charter,The Franklin School Of Innovat,12,46.2,1125,580,545
Charter,The Hawbridge School,19,54.3,1131,588,543
Charter,The North Carolina Leadership Academy,16,80,1135,573,562
Charter,Thomas Jefferson Classical Academy,74,90.2,1165,586,579
Charter,Triad Math And Science Academy,52,78.8,1073,534,539
Charter,Union Academy Charter School,99,83.9,1092,552,540
Charter,Uwharrie Charter Academy,34,28.6,1072,552,520
Charter,Voyager Academy,53,57.6,1050,529,521
Charter,Washington Montessori,<10,*,*,*,*
Charter,Williams Academy (fka Crossnore),<10,*,*,*,*
Charter,Woods Charter School,29,63,1266,626,640
